name,address,url,lat,lng
よこはま動物園 ズーラシア園,横浜市旭区上白根町1175,http://www2.zoorasia.org/,35.4942375,139.5273381
六本木ヒルズ スカイアクアリウム （夏季限定）,東京都六本木6-10-1　六本木ヒルズ森タワー52F,http://www.roppongihills.com/tcv/,35.6607345,139.7292066
新潟市水族館 マリンピア日本海,新潟県新潟市西船見町5932-445,http://www.marinepia.or.jp/,37.9237441,139.0280763
寺泊水族博物館,新潟県三島郡寺泊町大字寺泊字花立9353-158,http://www.aquarium-teradomari.jp/,37.6338712,138.7603547
上越市立 水族博物館,新潟県上越市西本町4-19-27,http://www.city.joetsu.niigata.jp/inform/sisetu/aquarium/,37.1740944,138.2340087
イヨボヤ会館,新潟県村上市塩町13-34,http://www.iwafune.ne.jp/~iyoboya/,38.2278354,139.4714803
魚津水族館,富山県魚津市三ヶ1390,http://www.city.uozu.toyama.jp/suizoku/,36.7983642,137.3881941
のとじま水族館,石川県七尾市能登島曲町15部40,http://www.notoaqua.jp/,37.14916670000000,136.9822222
越前松島水族館,福井県坂井郡三国町崎,http://www.echizen-aquarium.com/,36.251114,136.144867
蓼科アミューズメント水族館,長野県茅野市北山4035-2409（北八ヶ岳ロープウェイ隣）,http://aquacia.blog.fc2.com/,36.0679898,138.3014528
伊豆・三津シーパラダイス,静岡県沼津市内浦長浜3-1,http://www.seapara.jp/,35.0195002,138.8960105
下田海中水族館,静岡県下田市3-22-31,http://www.shimoda-aquarium.com/,34.66609,138.945952
あわしまマリンパーク,静岡県沼津市内浦重寺186,http://www.marinepark.jp/,35.0330079,138.8935373
東海大学海洋科学博物館,静岡県静岡市清水区三保2389,http://www.umi.muse-tokai.jp/,35.0190835,138.518256
伊豆アンディランド,静岡県賀茂郡河津町菖蒲沢,http://www.izuandyland.com/,34.7280432,138.9928255
名古屋港水族館,愛知県名古屋市港区港町1-3,http://www.nagoyaaqua.jp/,35.09050880000000,136.8784377
名古屋市東山動物園 世界のメダカ館・自然動物館,愛知県名古屋市千種区東山元町3-70,http://www.higashiyama.city.nagoya.jp/,35.1533684,136.9773178
南知多ビーチランド,愛知県知多郡美浜町奥田428-1,http://www.beachland.jp/,34.7838332,136.8688931
蒲郡市 竹島水族館,愛知県蒲郡市竹島町1-6,http://www.city.gamagori.lg.jp/site/takesui/,34.8163283,137.2320129
碧南海浜水族館,愛知県碧南市浜町2-3,http://www.city.hekinan.aichi.jp/aquarium/,34.8790027,136.981573
豊橋総合動植物公園 のんほいパーク,豊橋市大岩町字大穴1-238,http://www.toyohaku.gr.jp/tzb/,34.7224222,137.4322468
赤塚山公園 淡水魚水族館ぎょぎょランド,愛知県豊川市市田町東堤上1-30,,34.8469241,137.3598375
岐阜県世界淡水魚水族館 アクア・トトぎふ,岐阜県各務原市川島笠田町1453,http://www.aquatotto.com/,35.3718265,136.8102261
森の水族館,岐阜県大野郡丹生川村根方532,http://norikura.com/aquarium/,36.2101602,136.8679395
鳥羽水族館,三重県鳥羽市鳥羽3-3-6,http://www.aquarium.co.jp/,34.482343,136.844945
二見シーパラダイス,三重県伊勢市二見町江580,http://www.futami-seaparadise.com/,34.5075639,136.7900334
志摩マリンランド,三重県志摩市阿児町賢島,http://www.isesima.com/M-rand.htm,34.3082116,136.8168086
日本サンショウウオセンター,三重県名張市赤目町長坂861-2,http://www.akame48taki.jp/,34.5633269,136.0856305
熱川バナナワニ園,静岡県賀茂郡東伊豆町奈良本1253-10,http://www.i-younet.ne.jp/~wanien/,34.8164627,139.067496
滋賀県立 琵琶湖博物館,滋賀県草津市下物町1091,http://www.lbm.go.jp/,35.0730509,135.9399398
丹後 魚っ知館（うおっちかん）,京都府宮津市小田宿野1001,http://www.kepco.co.jp/pr/miyazu/,35.5561746,135.2552837
海遊館,大阪府大阪市港区海岸通1,http://www.kaiyukan.com/,34.6537053,135.4300998
水道記念館,大阪府大阪市東淀川区柴島1-3-1,,34.7244552,135.5054373
かわいい水族館,大阪府大阪市北区芝田1-1-3 阪急三番街北館１階,,34.7057974,135.4983296
神戸市立 須磨海浜水族園,兵庫県神戸市須磨区若宮町1-3-5,http://sumasui.jp/,34.6438884,135.12777
城崎マリンワールド,兵庫県豊岡市瀬戸,http://marineworld.hiyoriyama.co.jp/,35.6537177,134.8165097
姫路市立水族館,兵庫県姫路市西延末440（手柄山中央公園内）,http://www.city.himeji.hyogo.jp/aqua/,34.8208763,134.6736794
和歌山県立自然博物館,和歌山県海南市船尾370-１,http://www.shizenhaku.wakayama-c.ed.jp/,34.1596172,135.1927643
京都大学白浜水族館,和歌山県西牟婁郡白浜町459,http://www.seto.kais.kyoto-u.ac.jp/aquarium/index.html,33.6781397,135.3481896
串本海中公園,和歌山県東牟婁郡串本町有田1157,http://www.kushimoto.co.jp/,33.4805433,135.7446203
太地町立 くじらの博物館,和歌山県東牟婁郡太地町大字太地2934-2,http://www.town.taiji.wakayama.jp/museum/,33.6018789,135.9458029
すさみ海立 エビとカニの水族館,和歌山県西牟婁郡すさみ町江住（日本童話の園公園内）,http://www.aikis.or.jp/~ebikani/,33.504753,135.5881306
アドベンチャーワールド,和歌山県西牟婁郡白浜町堅田2399,http://aws-s.com/,33.6776857,135.3774187
玉野市立 玉野海洋博物館,岡山県玉野市渋川2-6-1,http://www.city.tamano.okayama.jp/,34.4549745,133.9053477
広島　マリホ水族館,広島県広島市西区観音新町4丁目14-35,http://mariho-aquarium.com/,34.3610433,132.415923
宮島水族館,広島県廿日市市宮島町10-3,http://www.miyajima-aqua.jp/,34.2955107,132.3157919
島根県立 しまね海洋館ＡＱＵＡＳ（アクアス）,島根県浜田市久代町1117-2,http://www.aquas.or.jp/,34.9594205,132.1444652
島根県立 宍道湖自然館 ゴビウス,島根県平田市園町沖の島1659-5,http://www2.pref.shimane.jp/gobius/,35.4472222,132.8644444
下関市立 しものせき水族館 海響館,山口県下関市あるかぽーと6-1,http://www.kaikyokan.com/,33.9541605,130.9420421
なぎさ水族館,山口県大島郡周防大島町大字伊保田2111-3,http://nagisapark.jimdo.com/,33.9512145,132.4375565
新屋島水族館,香川県高松市屋島東町1785-1,http://www.new-yashima-aq.com/top/top.html,34.358296,134.0997984
日和佐うみがめ博物館 カレッタ,徳島県海部郡美波町大浜海岸,http://www.town.minami.tokushima.jp/umigame/caretta.html,33.7331755,134.5411183
虹の森公園 おさかな館,愛媛県北宇和郡松野町大字延野々1510-1,http://www.morinokuni.or.jp/Osakanakan/OSAKANAKAN.HTML,33.2296985,132.7093926
桂浜水族館,高知県高知市浦戸778,http://www.katurahama-aq.jp/katurahama/,33.4969883,133.5736467
高知県立 足摺海洋館,高知県土佐清水市三崎字今芝4032,http://www.a-sea.net/manbow/,32.7914265,132.8622546
四万十川学遊館 あきついお,高知県四万十市具同8055-5,http://www.gakuyukan.com/,32.9902429,132.9136656
マリンワールド海の中道,福岡県福岡市東区西戸崎18-28,http://www.marine-world.co.jp/,33.660851,130.363413
大分マリーンパレス水族館 うみたまご,大分県大分市高崎山下海岸,http://www.umitamago.jp/,33.2599149,131.5336245
道の駅やよい 番匠おさかな館,大分県佐伯市弥生大字上小倉898番地1,http://michinoeki-yayoi.com/osakanakan/index/index.htm,32.9644306,131.8381771
長崎ペンギン水族館,長崎県長崎市宿町3-16,http://www1.city.nagasaki.nagasaki.jp/penguin/index.html,32.7587478,129.946716
九十九島水族館「海きらら」,長崎県佐世保市鹿子前町1055番地,http://www.pearlsea.jp/umikirara/index.html,33.1619414,129.678782
むつごろう水族館,長崎県諌早市小野島町2232,http://www.kantakunosato.co.jp/map/suizokukan/index.htm,32.845748,130.0910573
天草いるかワールド,熊本県渡市本渡町広瀬996,http://www.hotel-alegria.jp/dolphin/index.html,32.4728972,130.2069042
わくわく海中水族館 シードーナツ,熊本県上天草市松島町合津6225-7,http://www.amakusapearl.com/sea/,32.5278878,130.4275144
高千穂淡水魚水族館,宮崎県西臼杵郡高千穂町向山60-1,http://www.town-takachiho.jp/~syoukan/suizokukan/newpage1.htm,32.7025313,131.3005058
すみえファミリー水族館,宮崎県延岡市須美江町69-1,http://www15.ocn.ne.jp/~nobekan/recr/sumi/aqua/aqua.html,32.66175580000000,131.768071
いおワールド かごしま水族館,鹿児島県鹿児島市本港新町3-1,http://www.ioworld.jp/,31.5959502,130.5645811
海洋博公園 沖縄美ら海水族館,沖縄県国頭郡本部町石川424,http://oki-churaumi.jp/,26.694338,127.8780131
沖縄子どもの国,沖縄県沖縄市胡屋5-7-1,http://www.kodomo.city.okinawa.okinawa.jp/,26.3273737,127.8035013
